Wholesale_Proxy_AvgLoan,Retail_Proxy_AvgLoan
835842,161806
857096,172818
869474,183728
888752,196106
853241,172441
843242,167221
810866,164774
804888,176864
779634,180857
749246,183338
726154,189977
711446,201470
708764,195691
701150,188522
690441,202091
683295,218324
676709,231005
681090,230463
680520,270073
694288,274158
712155,297002
756636,298410
766323,301382
788718,293798
810406,290947
852947,284664
866632,292533
910256,298421
929361,302382
965479,298956
1046102,312492
1133272,326906
1153172,337577
1159365,321121
1141999,335203
1186704,359070
1141028,377396
1098071,353355
1021025,342969
957287,350338
942243,667005
900301,641225
886878,627357
905268,618387
921893,610659
957072,596411
990295,598609
1038289,596816
1098495,587059
1146150,582852
1175634,587219
1188167,592353
1197156,585702
1234963,582276
1243075,587993
1266481,583437
1294850,574074
1350495,579509
1370328,587703
1392090,593107
1432091,584235
1471822,580606
1495239,594790
1519750,617017
1554711,618786
1608860,623069
1600140,646827
1622483,660276
1629807,652016
1654854,653637
1644610,681373
1663606,718513
1681539,717981
1750044,728483
1758439,742251
1795901,761475
1859934,758839
1887508,749731
1894395,775621
1900812,787740
1938989,787725
2296209,705344
2116693,692281
2006139,695254
1960086,668242
1926872,666034
1852142,689435
1876639,719965
1955485,727637
2060314,756461
2099562,799550
2122848,838499
2131366,855620
2131647,877333
2102561,909949
2085868,940326
2070943,946024
2083581,951520
2077550,970202
2032871,989734
1989700,986158
2003586,988251
1965463,1004316
