Quarter_dt,Wholesale_Proxy_NCO,Retail_Proxy_NCO
2000-01-01,0.0059,0.041100000000000005
2000-04-01,0.006999999999999999,0.0378
2000-07-01,0.0070999999999999995,0.038599999999999995
2000-10-01,0.0098,0.0406
2001-01-01,0.0111,0.0437
2001-04-01,0.0128,0.0473
2001-07-01,0.0154,0.0499
2001-10-01,0.018500000000000003,0.0562
2002-01-01,0.0182,0.0782
2002-04-01,0.0207,0.0579
2002-07-01,0.025099999999999997,0.057699999999999994
2002-10-01,0.014499999999999999,0.0527
2003-01-01,0.0184,0.0558
2003-04-01,0.015600000000000001,0.0553
2003-07-01,0.0138,0.053
2003-10-01,0.0087,0.057
2004-01-01,0.0084,0.0528
2004-04-01,0.0058,0.0533
2004-07-01,0.0038,0.0446
2004-10-01,0.0031,0.0473
2005-01-01,0.002,0.0462
2005-04-01,0.0017000000000000001,0.042300000000000004
2005-07-01,0.0012,0.0436
2005-10-01,0.0026,0.06
2006-01-01,0.0017000000000000001,0.033
2006-04-01,0.0021,0.035
2006-07-01,0.0026,0.0379
2006-10-01,0.0029,0.0361
2007-01-01,0.0034999999999999996,0.0415
2007-04-01,0.0040999999999999995,0.037000000000000005
2007-07-01,0.0043,0.038
2007-10-01,0.0067,0.043
2008-01-01,0.0072,0.047
2008-04-01,0.0084,0.051699999999999996
2008-07-01,0.0102,0.0576
2008-10-01,0.0129,0.0645
2009-01-01,0.02,0.0774
2009-04-01,0.024700000000000003,0.09380000000000001
2009-07-01,0.026699999999999998,0.1052
2009-10-01,0.0232,0.10640000000000001
2010-01-01,0.021099999999999997,0.1059
2010-04-01,0.019,0.1048
2010-07-01,0.0171,0.0889
2010-10-01,0.0126,0.0797
2011-01-01,0.011399999999999999,0.0696
2011-04-01,0.0078000000000000005,0.053099999999999994
2011-07-01,0.0066,0.0594
2011-10-01,0.0062,0.045
2012-01-01,0.0051,0.042199999999999994
2012-04-01,0.0049,0.0397
2012-07-01,0.0043,0.038599999999999995
2012-10-01,0.0027,0.038599999999999995
2013-01-01,0.0033,0.0369
2013-04-01,0.0027,0.0347
2013-07-01,0.0024,0.0341
2013-10-01,0.0022,0.0336
2014-01-01,0.0021,0.032
2014-04-01,0.0018,0.0332
2014-07-01,0.0018,0.031
2014-10-01,0.0021,0.03
2015-01-01,0.0016,0.0288
2015-04-01,0.0021,0.028999999999999998
2015-07-01,0.0024,0.029500000000000002
2015-10-01,0.0031,0.029300000000000003
2016-01-01,0.0043,0.0298
2016-04-01,0.0044,0.03
2016-07-01,0.0044,0.0308
2016-10-01,0.0038,0.0336
2017-01-01,0.0032,0.0348
2017-04-01,0.0036,0.0348
2017-07-01,0.0032,0.0348
2017-10-01,0.0034000000000000002,0.0354
2018-01-01,0.0028000000000000004,0.0365
2018-04-01,0.0024,0.0352
2018-07-01,0.0024,0.0358
2018-10-01,0.0027,0.0363
2019-01-01,0.0029,0.035699999999999996
2019-04-01,0.003,0.0355
2019-07-01,0.0042,0.037599999999999995
2019-10-01,0.0037,0.037000000000000005
2020-01-01,0.005600000000000001,0.0354
2020-04-01,0.0063,0.036699999999999997
2020-07-01,0.0055000000000000005,0.0356
2020-10-01,0.0046,0.0262
2021-01-01,0.003,0.027000000000000003
2021-04-01,0.0022,0.0231
2021-07-01,0.0016,0.0175
2021-10-01,0.001,0.015600000000000001
2022-01-01,0.0012,0.016
2022-04-01,0.0014000000000000002,0.0174
2022-07-01,0.0016,0.019799999999999998
2022-10-01,0.0024,0.0231
2023-01-01,0.0027,0.0274
2023-04-01,0.0031,0.030699999999999998
2023-07-01,0.0038,0.0354
2023-10-01,0.0042,0.0397
2024-01-01,0.0044,0.04190000000000001
2024-04-01,0.0048,0.044199999999999996
2024-07-01,0.005699999999999999,0.0458
2024-10-01,0.005,0.0452
2025-01-01,0.005600000000000001,0.0426
2025-04-01,0.0058,0.0405
2025-07-01,0.0058,0.0406
